iter	MAE
1224	632713.9539
1225	632620.1938
1226	632408.4259
1227	632365.5155
1228	632327.0093
1229	632285.6896
1230	632262.0555
1231	632180.376
1232	632137.0441
1233	632013.9428
1234	631901.6018
1235	631856.6508
1236	631830.3951
1237	631778.3806
1238	631737.9256
1239	631689.9123
1240	631637.0923
1241	631573.945
1242	631494.3258
1243	631435.1717
1244	631363.9934
1245	631334.1411
1246	631281.8629
1247	631216.5072
1248	631185.8346
1249	631084.3202
1250	631030.4172
1251	630969.5149
1252	630948.1431
1253	630903.5267
1254	630855.5784
1255	630776.6571
1256	630736.9452
1257	630716.5079
1258	630639.5148
1259	630593.5123
1260	630535.2063
1261	630442.1947
1262	630373.7088
1263	630288.8482
1264	630198.8536
1265	630139.0417
1266	630075.5365
1267	630000.2915
1268	629932.1619
1269	629899.1303
1270	629817.6249
1271	629771.0532
1272	629656.919
1273	629575.0302
1274	629436.3003
1275	629376.0083
1276	629304.5446
1277	629238.4611
1278	629122.3411
1279	629099.4117
1280	629088.8386
1281	629018.4096
1282	628980.5678
1283	628929.3734
1284	628896.7889
1285	628865.2187
1286	628820.8307
1287	628756.6363
1288	628728.3361
1289	628658.5942
1290	628610.589
1291	628519.5605
1292	628476.693
1293	628406.7907
1294	628372.7938
1295	628309.5526
1296	628271.0189
1297	628247.5745
1298	628153.1595
1299	628042.8187
1300	627953.1468
1301	627852.0476
1302	627796.5147
1303	627745.7945
1304	627700.3739
1305	627640.1594
1306	627576.1942
1307	627549.8639
1308	627469.1233
1309	627417.9245
1310	627363.6437
1311	627213.164
1312	627094.7414
1313	627057.2896
1314	626936.0095
1315	626887.7787
1316	626710.5001
1317	626634.8086
1318	626563.119
1319	626509.3895
1320	626447.9712
1321	626323.1815
1322	626276.8293
1323	626210.8354
1324	626179.1202
1325	626123.6269
1326	626079.7501
1327	626036.0268
1328	626017.6183
1329	625958.7635
1330	625937.3919
1331	625876.9133
1332	625849.0098
1333	625770.606
1334	625718.0962
1335	625664.8289
1336	625579.7292
1337	625556.7555
1338	625520.9255
1339	625464.0819
1340	625433.8723
1341	625390.336
1342	625333.3895
1343	625295.8444
1344	625217.9702
1345	625150.1858
1346	625027.8395
1347	624814.0833
1348	624718.1699
1349	624683.4732
1350	624647.7524
1351	624582.8657
1352	624565.7442
1353	624533.5378
1354	624397.4218
1355	624349.5107
1356	624299.5048
1357	624233.5426
1358	624190.1151
1359	624152.6142
1360	624117.1419
1361	624088.0431
1362	623991.045
1363	623958.0351
1364	623918.6386
1365	623851.3303
1366	623806.2532
1367	623728.1219
1368	623699.9239
1369	623669.2723
1370	623550.1535
1371	623518.1701
1372	623415.7164
1373	623337.2338
1374	623229.6976
1375	623181.4044
1376	623119.9474
1377	623056.6199
1378	623016.3446
1379	622947.4022
1380	622912.4777
1381	622863.8837
1382	622805.6292
1383	622788.6335
1384	622766.3475
1385	622711.6127
1386	622655.1045
1387	622602.4009
1388	622521.3258
1389	622471.5489
1390	622436.634
1391	622363.7864
1392	622280.3544
1393	622249.6612
1394	622219.5565
1395	622152.8055
1396	622050.797
1397	621980.0039
1398	621955.6691
1399	621924.6095
1400	621656.398
1401	621629.8976
1402	621582.8153
1403	621507.6344
1404	621443.9266
1405	621373.9919
1406	621352.5783
1407	621306.6634
1408	621269.1274
1409	621167.8014
1410	621120.4609
1411	621065.4612
1412	620969.6568
1413	620876.8773
1414	620832.8108
1415	620821.5642
1416	620745.1472
1417	620685.9274
1418	620631.033
1419	620594.7966
1420	620544.2663
1421	620490.3152
1422	620433.2637
1423	620401.8167
1424	620350.1705
1425	620263.5911
1426	620168.3002
1427	620144.0669
1428	620121.1703
1429	620087.0289
1430	620028.0209
1431	619939.5027
1432	619895.2506
1433	619827.4574
1434	619735.3772
1435	619680.2624
1436	619613.3343
1437	619570.4387
1438	619522.7239
1439	619477.7256
1440	619435.3037
1441	619398.0165
1442	619346.8437
1443	619273.8545
1444	619193.6022
1445	619174.5058
1446	619114.579
1447	619042.9239
1448	618986.7714
1449	618957.1689
1450	618935.5612
1451	618865.211
1452	618805.8721
1453	618755.1195
1454	618686.6714
1455	618488.7646
1456	618455.5496
1457	618427.1778
1458	618289.936
1459	618262.9151
1460	618241.5971
1461	618225.5522
1462	618185.1454
1463	618151.9125
1464	618044.6288
1465	618009.4946
